               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.045514,            0.053121,            0.061002,             0.86299,             0.73397,              0.8105,             0.46706,            0.039532,            0.042446,            0.057869,          0.00028027,          0.00028027,          0.00028027
                  67,            0.045611,            0.053206,            0.061056,             0.85968,             0.73651,             0.81074,             0.46707,            0.039519,            0.042439,            0.057872,          0.00026653,          0.00026653,          0.00026653
                  68,            0.045538,            0.052101,             0.06102,             0.86285,             0.73838,             0.81135,             0.46724,            0.039509,            0.042444,            0.057867,          0.00025302,          0.00025302,          0.00025302
                  69,            0.045279,            0.052258,            0.060987,             0.86004,             0.73918,             0.81089,             0.46763,            0.039494,            0.042442,            0.057866,          0.00023977,          0.00023977,          0.00023977
                  70,            0.045491,            0.052638,            0.061008,             0.86135,             0.73914,             0.81092,              0.4679,            0.039477,            0.042429,            0.057861,          0.00022677,          0.00022677,          0.00022677
                  71,            0.045293,            0.052253,            0.060993,             0.86117,             0.73963,             0.81145,             0.46799,            0.039466,            0.042431,            0.057861,          0.00021405,          0.00021405,          0.00021405
                  72,            0.045272,            0.052887,             0.06101,              0.8597,             0.73945,             0.81137,             0.46774,             0.03946,            0.042432,            0.057861,          0.00020161,          0.00020161,          0.00020161
                  73,            0.045291,            0.051968,            0.060983,             0.86206,             0.73769,             0.81092,             0.46777,            0.039452,            0.042421,            0.057861,          0.00018948,          0.00018948,          0.00018948
                  74,            0.045115,            0.051972,            0.060967,              0.8624,             0.73837,             0.81032,             0.46801,            0.039444,             0.04241,            0.057862,          0.00017765,          0.00017765,          0.00017765
                  75,            0.045205,            0.052266,            0.060991,             0.86205,             0.73852,             0.81008,             0.46822,            0.039435,            0.042408,            0.057859,          0.00016615,          0.00016615,          0.00016615
                  76,             0.04513,            0.052459,            0.060929,              0.8627,              0.7397,             0.81116,             0.46807,            0.039428,            0.042413,            0.057859,          0.00015498,          0.00015498,          0.00015498
                  77,            0.044876,            0.052308,            0.060915,             0.86209,             0.73938,             0.81075,             0.46839,            0.039425,            0.042413,            0.057859,          0.00014416,          0.00014416,          0.00014416
                  78,            0.045018,            0.052101,            0.060951,             0.86205,             0.73995,             0.81081,             0.46866,            0.039428,            0.042411,            0.057862,           0.0001337,           0.0001337,           0.0001337
                  79,            0.044957,            0.051956,            0.060893,             0.86047,             0.73951,             0.80995,             0.46825,            0.039428,            0.042406,            0.057862,           0.0001236,           0.0001236,           0.0001236
                  80,            0.044824,             0.05189,             0.06087,             0.86011,             0.73945,             0.81003,             0.46822,            0.039424,            0.042393,            0.057861,          0.00011387,          0.00011387,          0.00011387
                  81,            0.044913,            0.051042,            0.060937,             0.86171,             0.73868,             0.81029,             0.46834,            0.039419,            0.042393,            0.057861,          0.00010454,          0.00010454,          0.00010454
                  82,            0.044864,            0.052176,            0.060904,             0.86032,             0.73863,             0.80994,             0.46836,            0.039412,            0.042392,            0.057858,          9.5595e-05,          9.5595e-05,          9.5595e-05
                  83,            0.044816,            0.051603,              0.0609,             0.86148,              0.7377,             0.80996,             0.46819,            0.039409,            0.042386,            0.057859,          8.7058e-05,          8.7058e-05,          8.7058e-05
                  84,            0.044742,            0.051669,            0.060892,             0.86052,             0.73803,             0.80979,             0.46872,            0.039405,            0.042384,             0.05786,          7.8933e-05,          7.8933e-05,          7.8933e-05
                  85,            0.044706,            0.051621,            0.060911,             0.86235,             0.73563,             0.81011,             0.46907,            0.039398,            0.042385,            0.057858,          7.1228e-05,          7.1228e-05,          7.1228e-05
                  86,            0.044809,            0.052057,            0.060905,               0.862,             0.73593,             0.81032,             0.46862,            0.039397,            0.042389,            0.057856,          6.3952e-05,          6.3952e-05,          6.3952e-05
                  87,            0.044654,            0.051528,            0.060905,             0.86079,             0.73656,             0.80995,             0.46868,            0.039395,            0.042383,            0.057856,          5.7111e-05,          5.7111e-05,          5.7111e-05
                  88,            0.044736,            0.053128,             0.06085,             0.86105,             0.73628,             0.80987,             0.46843,            0.039392,            0.042383,            0.057855,          5.0711e-05,          5.0711e-05,          5.0711e-05
                  89,            0.044417,            0.051599,            0.060844,             0.86145,             0.73704,             0.81044,             0.46872,            0.039389,            0.042382,            0.057855,          4.4761e-05,          4.4761e-05,          4.4761e-05
                  90,            0.044765,            0.051693,            0.060927,             0.86156,             0.73656,              0.8104,              0.4686,            0.039387,            0.042381,            0.057855,          3.9264e-05,          3.9264e-05,          3.9264e-05
                  91,            0.044531,            0.051679,            0.060857,             0.86118,             0.73776,             0.81055,             0.46861,            0.039385,            0.042384,            0.057853,          3.4227e-05,          3.4227e-05,          3.4227e-05
                  92,            0.044462,            0.051199,            0.060869,             0.86077,             0.73757,             0.81048,             0.46875,            0.039384,            0.042385,            0.057853,          2.9655e-05,          2.9655e-05,          2.9655e-05
                  93,            0.044775,             0.05182,              0.0609,             0.86009,             0.73841,             0.81045,              0.4686,            0.039382,            0.042383,            0.057853,          2.5551e-05,          2.5551e-05,          2.5551e-05
                  94,            0.044636,            0.051976,            0.060891,             0.86141,             0.73793,             0.81052,              0.4686,             0.03938,            0.042378,            0.057853,          2.1921e-05,          2.1921e-05,          2.1921e-05
                  95,            0.044652,              0.0515,            0.060866,             0.86103,             0.73771,             0.81045,             0.46856,             0.03938,            0.042381,            0.057853,          1.8768e-05,          1.8768e-05,          1.8768e-05
                  96,            0.044613,            0.051821,            0.060867,              0.8613,             0.73778,             0.81053,              0.4687,            0.039378,            0.042376,            0.057854,          1.6094e-05,          1.6094e-05,          1.6094e-05
                  97,              0.0445,            0.051544,            0.060893,             0.86103,             0.73738,             0.81019,             0.46868,            0.039376,            0.042382,            0.057854,          1.3903e-05,          1.3903e-05,          1.3903e-05
                  98,            0.044464,             0.05157,            0.060863,             0.86077,             0.73718,             0.80991,             0.46854,            0.039374,            0.042376,            0.057854,          1.2197e-05,          1.2197e-05,          1.2197e-05
                  99,            0.044672,            0.051905,            0.060864,             0.86087,             0.73677,             0.80966,             0.46838,            0.039374,            0.042378,            0.057854,          1.0977e-05,          1.0977e-05,          1.0977e-05
