               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.038081,             0.04313,                0.06,             0.87223,             0.79647,             0.85769,             0.53867,            0.033971,            0.036231,            0.056997,            0.001882,            0.001882,            0.001882
                  84,            0.038049,            0.043285,             0.05998,             0.87248,             0.79643,             0.85802,             0.53894,            0.033964,            0.036239,            0.056999,            0.001783,            0.001783,            0.001783
                  85,            0.037754,            0.042713,            0.059931,             0.87382,             0.79554,              0.8581,             0.53864,            0.033958,            0.036237,            0.056998,            0.001684,            0.001684,            0.001684
                  86,             0.03791,            0.043171,            0.059932,             0.87456,             0.79678,             0.85828,             0.53923,            0.033948,            0.036231,            0.056996,            0.001585,            0.001585,            0.001585
                  87,            0.037783,            0.042518,            0.059939,             0.87293,             0.79726,             0.85845,             0.53939,            0.033939,            0.036228,            0.056996,            0.001486,            0.001486,            0.001486
                  88,            0.037828,            0.042795,            0.059942,             0.87342,             0.79799,             0.85889,              0.5394,            0.033929,            0.036223,            0.056994,            0.001387,            0.001387,            0.001387
                  89,            0.037709,            0.042666,            0.059899,             0.87145,             0.79865,             0.85897,             0.53975,            0.033915,            0.036214,            0.056991,            0.001288,            0.001288,            0.001288
                  90,            0.037589,            0.042443,            0.059892,             0.87206,              0.7985,             0.85877,             0.53992,            0.033909,            0.036217,            0.056992,            0.001189,            0.001189,            0.001189
                  91,            0.037637,            0.042646,             0.05991,             0.87305,             0.79848,             0.85874,             0.54041,            0.033903,            0.036214,            0.056993,             0.00109,             0.00109,             0.00109
                  92,            0.037509,            0.042366,            0.059894,             0.87281,              0.7984,              0.8587,                0.54,            0.033897,             0.03622,            0.056991,            0.000991,            0.000991,            0.000991
                  93,            0.037525,            0.042792,            0.059914,             0.87222,             0.79941,             0.85898,             0.53998,            0.033891,            0.036215,            0.056992,            0.000892,            0.000892,            0.000892
                  94,            0.037457,            0.042597,            0.059884,              0.8726,             0.79871,             0.85904,              0.5403,            0.033888,            0.036215,             0.05699,            0.000793,            0.000793,            0.000793
                  95,             0.03739,            0.042332,            0.059885,             0.87469,             0.79777,              0.8589,              0.5403,            0.033884,             0.03622,            0.056991,            0.000694,            0.000694,            0.000694
                  96,            0.037177,             0.04161,            0.059808,             0.87381,             0.79796,             0.85866,             0.54034,            0.033881,            0.036223,            0.056991,            0.000595,            0.000595,            0.000595
                  97,            0.037187,            0.042044,            0.059798,             0.87465,              0.7976,             0.85868,             0.54053,            0.033877,            0.036229,            0.056988,            0.000496,            0.000496,            0.000496
                  98,            0.037111,            0.041755,            0.059828,             0.87414,             0.79802,             0.85862,             0.54046,            0.033876,             0.03623,            0.056988,            0.000397,            0.000397,            0.000397
                  99,            0.037198,            0.041746,            0.059858,             0.87377,             0.79795,             0.85876,             0.54094,            0.033873,            0.036232,            0.056989,            0.000298,            0.000298,            0.000298
